model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_ALL_L3,0.9938802439755318,competition_score,4.2354736328125,641.9648747444153,0.0009949207305908203,0.2697169780731201,3,True,104
WeightedEnsemble_L3,0.9938802439755318,competition_score,4.236469984054565,641.9560134410858,0.00199127197265625,0.26085567474365234,3,True,105
RandomForest_r195_BAG_L2,0.9934566450954173,competition_score,3.3852016925811768,410.36237955093384,0.18120384216308594,2.201711654663086,2,True,85
XGBoost_r89_BAG_L2,0.9934527249990202,competition_score,3.232870578765869,416.25357699394226,0.02887272834777832,8.092909097671509,2,True,88
LightGBM_r161_BAG_L2,0.9934156331323709,competition_score,3.7525858879089355,486.60492396354675,0.5485880374908447,78.444256067276,2,True,99
LightGBM_r131_BAG_L2,0.9933915365673656,competition_score,3.4907350540161133,461.9233338832855,0.28673720359802246,53.76266598701477,2,True,75
RandomForestMSE_BAG_L2,0.993389587742016,competition_score,3.3772361278533936,410.8946809768677,0.17323827743530273,2.734013080596924,2,True,66
WeightedEnsemble_L2,0.9933818544581736,competition_score,0.3395099639892578,354.87860131263733,0.000995635986328125,0.2765464782714844,2,True,63
LightGBM_BAG_L2,0.993229070654901,competition_score,3.245814085006714,418.05180835723877,0.04181623458862305,9.891140460968018,2,True,65
XGBoost_r33_BAG_L2,0.9931795205827522,competition_score,3.2806594371795654,443.68747782707214,0.07666158676147461,35.52680993080139,2,True,80
XGBoost_BAG_L2,0.9930675471124251,competition_score,3.233853816986084,417.75752687454224,0.029855966567993164,9.596858978271484,2,True,70
ExtraTreesMSE_BAG_L2,0.9930539159077394,competition_score,3.3812153339385986,408.92374324798584,0.1772174835205078,0.7630753517150879,2,True,68
XGBoost_r194_BAG_L2,0.9930318254106921,competition_score,3.352346181869507,418.18878722190857,0.14834833145141602,10.028119325637817,2,True,94
ExtraTrees_r172_BAG_L2,0.9929216186160508,competition_score,3.37424898147583,408.730220079422,0.17025113105773926,0.5695521831512451,2,True,95
LightGBMLarge_BAG_L2,0.9929158784928528,competition_score,3.28165602684021,445.4439215660095,0.07765817642211914,37.28325366973877,2,True,72
ExtraTrees_r42_BAG_L2,0.9929079117477646,competition_score,3.380225658416748,408.8690915107727,0.17622780799865723,0.7084236145019531,2,True,81
LightGBM_r130_BAG_L2,0.9924519701449148,competition_score,3.2318766117095947,412.4722692966461,0.027878761291503906,4.311601400375366,2,True,90
NeuralNetTorch_r79_BAG_L2,0.9922537795116043,competition_score,3.3204922676086426,460.116085767746,0.11649441719055176,51.95541787147522,2,True,74
CatBoost_r137_BAG_L2,0.9919528945237464,competition_score,3.2398436069488525,443.29838371276855,0.03584575653076172,35.1377158164978,2,True,82
CatBoost_r70_BAG_L2,0.9916456891364551,competition_score,3.261258125305176,480.13946628570557,0.05726027488708496,71.97879838943481,2,True,101
NeuralNetTorch_r30_BAG_L2,0.991621131335836,competition_score,3.3234739303588867,465.86314725875854,0.1194760799407959,57.70247936248779,2,True,89
CatBoost_r69_BAG_L2,0.9915812466097464,competition_score,3.2378499507904053,421.50287675857544,0.03385210037231445,13.342208862304688,2,True,96
CatBoost_BAG_L2,0.9915506682596957,competition_score,3.2398414611816406,494.10772228240967,0.035843610763549805,85.94705438613892,2,True,67
CatBoost_r50_BAG_L2,0.9913337421300608,competition_score,3.2478103637695312,428.39151096343994,0.04381251335144043,20.23084306716919,2,True,92
LightGBM_r96_BAG_L2,0.9912604016419262,competition_score,3.637667655944824,435.81166315078735,0.4336698055267334,27.6509952545166,2,True,78
NeuralNetTorch_r30_BAG_L1,0.9912506841765855,competition_score,0.10354495048522949,60.082337856292725,0.10354495048522949,60.082337856292725,1,True,28
LightGBMXT_BAG_L2,0.9911621299054063,competition_score,3.241832733154297,416.97889971733093,0.037834882736206055,8.81823182106018,2,True,64
CatBoost_r177_BAG_L2,0.9911253484148501,competition_score,3.2378501892089844,449.91902208328247,0.033852338790893555,41.75835418701172,2,True,73
CatBoost_r13_BAG_L2,0.9909910581305509,competition_score,3.2537784576416016,859.6279599666595,0.04978060722351074,451.4672920703888,2,True,84
NeuralNetTorch_r41_BAG_L1,0.9901913707222874,competition_score,0.08861112594604492,38.720311641693115,0.08861112594604492,38.720311641693115,1,True,46
NeuralNetFastAI_r103_BAG_L2,0.9901175545831022,competition_score,3.2756824493408203,418.15533542633057,0.07168459892272949,9.994667530059814,2,True,97
NeuralNetFastAI_r145_BAG_L2,0.9900623020348404,competition_score,3.29012393951416,419.04714798927307,0.08612608909606934,10.88648009300232,2,True,87
CatBoost_r69_BAG_L1,0.989989400032441,competition_score,0.023894786834716797,130.13605451583862,0.023894786834716797,130.13605451583862,1,True,35
CatBoost_r137_BAG_L1,0.9899216040448473,competition_score,0.0238955020904541,108.64766931533813,0.0238955020904541,108.64766931533813,1,True,21
CatBoost_r49_BAG_L1,0.9898903337959354,competition_score,0.02290058135986328,71.29397106170654,0.02290058135986328,71.29397106170654,1,True,53
NeuralNetTorch_r22_BAG_L1,0.9897728894161802,competition_score,0.10553598403930664,63.89697241783142,0.10553598403930664,63.89697241783142,1,True,18
NeuralNetTorch_r22_BAG_L2,0.9897665258625397,competition_score,3.3234753608703613,452.43548607826233,0.11947751045227051,44.27481818199158,2,True,79
NeuralNetFastAI_r11_BAG_L2,0.9897563077329754,competition_score,3.2965924739837646,419.48413014411926,0.09259462356567383,11.32346224784851,2,True,93
NeuralNetFastAI_r191_BAG_L2,0.9897388286828517,competition_score,3.2856292724609375,418.8641059398651,0.08163142204284668,10.70343804359436,2,True,76
NeuralNetFastAI_r156_BAG_L2,0.9894541716436844,competition_score,3.37325382232666,430.36655592918396,0.16925597190856934,22.205888032913208,2,True,102
NeuralNetTorch_r79_BAG_L1,0.9893577429809239,competition_score,0.11051583290100098,52.615829944610596,0.11051583290100098,52.615829944610596,1,True,13
NeuralNetFastAI_r102_BAG_L2,0.9892492788601479,competition_score,3.37524676322937,425.53596448898315,0.1712489128112793,17.375296592712402,2,True,83
LightGBM_r196_BAG_L2,0.9888464422675945,competition_score,3.4598734378814697,427.3229603767395,0.2558755874633789,19.16229248046875,2,True,103
CatBoost_BAG_L1,0.9887955548801775,competition_score,0.026883363723754883,182.10861444473267,0.026883363723754883,182.10861444473267,1,True,6
CatBoost_r9_BAG_L2,0.9886624245858506,competition_score,3.2766804695129395,728.3342089653015,0.07268261909484863,320.17354106903076,2,True,77
NeuralNetFastAI_BAG_L2,0.9885973554732546,competition_score,3.265730857849121,417.01990604400635,0.06173300743103027,8.859238147735596,2,True,69
LightGBM_r15_BAG_L1,0.9885920208322241,competition_score,0.09856796264648438,17.015681505203247,0.09856796264648438,17.015681505203247,1,True,48
LightGBM_r188_BAG_L2,0.9885882150728875,competition_score,3.6291301250457764,474.5639214515686,0.42513227462768555,66.40325355529785,2,True,86
NeuralNetTorch_r158_BAG_L1,0.9884722580119905,competition_score,0.10354423522949219,54.14303207397461,0.10354423522949219,54.14303207397461,1,True,49
CatBoost_r50_BAG_L1,0.9883759692662965,competition_score,0.042814016342163086,98.850102186203,0.042814016342163086,98.850102186203,1,True,31
CatBoost_r177_BAG_L1,0.9878727069498805,competition_score,0.02489447593688965,63.40501666069031,0.02489447593688965,63.40501666069031,1,True,12
LightGBM_BAG_L1,0.9878649860016895,competition_score,0.020906448364257812,6.809716701507568,0.020906448364257812,6.809716701507568,1,True,4
LightGBM_r131_BAG_L1,0.9878603801934118,competition_score,0.18120431900024414,27.800864219665527,0.18120431900024414,27.800864219665527,1,True,14
LightGBM_r143_BAG_L1,0.9878523349511905,competition_score,0.12544798851013184,25.859893083572388,0.12544798851013184,25.859893083572388,1,True,55
