smiles_canonical,ic50_nM,n_records,had_salt
Brc1ccc2nc(Nc3ccccc3)ncc2c1,5005.0,2,False
C=CCOCCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccc(OC)cc2C1,4.806,2,True
CC(=O)N1CCN(C(=O)c2ccc3c(c2)CN(c2cccc(-c4nncn4C4CC4)n2)C3=O)CC1,0.2,1,False
CC(=O)NC1CC(n2c3ccc(O)cc3c3c4c(c5c6ccccc6[nH]c5c32)CNC4=O)OC(C)C1O,6.4,1,False
CC(=O)NC1CC(n2c3ccccc3c3c4c(c5c6cc(O)ccc6[nH]c5c32)CNC4=O)OC(C)C1O,50.0,1,False
CC(=O)NC1CC2OC(C)(C1O)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,0.77,1,False
CC(=O)NC1CCN(C(=O)c2ccc3c(c2)CN(c2cccc(-c4nncn4C4CC4)n2)C3=O)CC1,0.2,1,False
CC(=O)N[C@@H]1C[C@H](n2c3ccc(O)cc3c3c4c(c5c6ccccc6[nH]c5c32)CNC4=O)O[C@@H](C)[C@@H]1O,6400.0,1,False
CC(=O)N[C@@H]1C[C@H](n2c3ccccc3c3c4c(c5c6cc(O)ccc6[nH]c5c32)CNC4=O)O[C@@H](C)[C@@H]1O,50000.0,1,False
CC(=O)N[C@H]1C[C@H]2O[C@@](C)([C@@H]1O)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,770.0,1,False
CC(=O)Nc1ccc2c(c1)CN(c1cccc(-c3nncn3C3CC3)n1)C2=O,0.6,1,False
CC(=O)Nc1cccc(Nc2ncc3cc(-c4cccc(N)c4)ccc3n2)c1,5005.0,2,False
CC(=O)Nc1cccc(Nc2ncc3cc(-c4cn[nH]c4)ccc3n2)c1,100.1,2,False
CC(=O)Nc1cccc(Nc2ncc3cc(-c4cnn(C)c4)ccc3n2)c1,5005.0,2,False
CC(=O)Nc1cccc(Nc2ncc3cc(Br)ccc3n2)c1,5005.0,2,False
CC(=O)Nc1cccc(Nc2ncc3ccccc3n2)c1,7.79,5,False
CC(=O)Nc1cccc(Nc2ncnc3[nH]cnc23)c1,10000.0,1,False
CC(=O)Nc1cccc(Nc2ncnc3nc[nH]c23)c1,10.0,1,False
CC(=O)Nc1cccc2cc(C(=O)Nc3cccc(-c4nncn4C(C)C)n3)[nH]c12,120.17005,2,False
